iter	Passed	Remaining
708	5323	2935
709	5331	2928
710	5338	2920
711	5346	2913
712	5354	2906
713	5362	2898
714	5369	2891
715	5376	2883
716	5384	2876
717	5391	2868
718	5398	2860
719	5404	2852
720	5412	2845
721	5420	2837
722	5427	2830
723	5433	2821
724	5441	2814
725	5447	2806
726	5454	2798
727	5462	2791
728	5469	2783
729	5476	2775
730	5483	2768
731	5491	2760
732	5498	2752
733	5504	2744
734	5512	2737
735	5519	2729
736	5526	2722
737	5534	2714
738	5541	2706
739	5549	2699
740	5556	2692
741	5565	2685
742	5572	2677
743	5580	2670
744	5588	2662
745	5595	2655
746	5601	2647
747	5609	2639
748	5617	2632
749	5625	2625
750	5633	2617
751	5642	2610
752	5649	2603
753	5657	2595
754	5664	2588
755	5672	2581
756	5681	2574
757	5689	2567
758	5697	2559
759	5704	2552
760	5712	2544
761	5719	2537
762	5726	2529
763	5734	2522
764	5742	2514
765	5749	2507
766	5757	2499
767	5764	2491
768	5772	2484
769	5779	2476
770	5787	2469
771	5797	2463
772	5807	2456
773	5814	2449
774	5821	2441
775	5829	2434
776	5837	2426
777	5845	2419
778	5852	2411
779	5860	2404
780	5868	2397
781	5877	2389
782	5885	2382
783	5892	2375
784	5900	2367
785	5907	2360
786	5915	2352
787	5922	2344
788	5929	2337
789	5936	2329
790	5943	2321
791	5950	2314
792	5958	2306
793	5965	2299
794	5973	2291
795	5981	2284
796	5988	2276
797	5995	2269
798	6003	2261
799	6011	2254
800	6017	2246
801	6025	2238
802	6032	2231
803	6040	2223
804	6049	2216
805	6056	2209
806	6063	2201
807	6071	2194
808	6081	2187
809	6088	2179
810	6096	2172
811	6104	2165
812	6113	2158
813	6121	2150
814	6130	2143
815	6138	2136
816	6146	2128
817	6153	2121
818	6161	2114
819	6170	2106
820	6178	2099
821	6184	2091
822	6194	2084
823	6201	2077
824	6208	2069
825	6215	2061
826	6223	2054
827	6231	2046
828	6238	2039
829	6246	2032
830	6254	2024
831	6262	2017
832	6269	2009
833	6278	2002
834	6285	1994
835	6292	1987
836	6300	1979
837	6307	1971
838	6314	1964
839	6321	1956
840	6329	1949
841	6337	1941
842	6344	1934
843	6352	1926
844	6359	1919
845	6367	1911
846	6375	1904
847	6383	1897
848	6390	1889
849	6398	1881
850	6405	1874
851	6413	1866
852	6420	1859
853	6427	1851
854	6434	1843
855	6441	1836
856	6449	1828
857	6456	1821
858	6463	1813
859	6469	1805
860	6477	1798
861	6485	1790
862	6492	1783
863	6501	1775
864	6508	1768
865	6516	1760
866	6524	1753
867	6532	1746
868	6540	1738
869	6548	1731
870	6556	1723
871	6563	1716
872	6571	1708
873	6578	1701
874	6585	1693
875	6592	1685
876	6601	1678
877	6609	1671
878	6615	1663
879	6622	1655
880	6629	1647
881	6637	1640
882	6644	1632
883	6651	1625
884	6658	1617
885	6665	1609
886	6674	1602
887	6682	1595
888	6690	1588
889	6699	1580
890	6707	1573
891	6714	1565
892	6721	1558
893	6729	1550
894	6736	1542
895	6744	1535
896	6752	1528
897	6760	1520
898	6767	1513
899	6775	1505
900	6782	1498
901	6790	1490
902	6798	1483
903	6805	1475
904	6813	1468
905	6820	1460
906	6828	1453
907	6836	1445
908	6843	1437
909	6850	1430
910	6857	1422
911	6864	1415
912	6871	1407
913	6879	1399
914	6885	1392
915	6893	1384
916	6902	1377
917	6909	1369
918	6915	1362
919	6923	1354
920	6929	1346
921	6937	1339
922	6944	1331
923	6951	1324
924	6958	1316
925	6966	1308
926	6973	1301
927	6980	1293
928	6987	1286
929	6995	1278
930	7003	1271
931	7010	1263
932	7018	1256
933	7025	1248
934	7032	1240
935	7040	1233
936	7047	1225
937	7055	1218
938	7064	1211
939	7071	1203
940	7079	1196
941	7086	1188
